product category; product name; product description; price; product option; option value;nothing useful; product option; option value 
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;maroon;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;red;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;sky blue;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;pink;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;gray;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;royal blue;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;orange;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;hunter green;;;
water bottle;Camelback Kid's Water Bottle;Insulated Water Bottle;12;color;black;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;red;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;hunter green;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;yellow;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;purple;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;sky blue;;;
water bottle;CamelBak  CamelBak Water Bottle;Pull top bottle;15;color;orange;;;
water bottle;Hydro Flask  Hydro Flask ;Double Wall Water Bottle;32;color;hunter green;;;
water bottle;KING DO WAY Under Armour ;20 ounce;11;color;royal blue;;;
water bottle;KINGSO KINGSO bottle;16 ounce;12;color;gray;;;
water bottle;KINGSO KINGSO bottle;16 ounce;12;color;royal blue;;;
water bottle;Live Infinitely Live Infinitely  Bottle;24 ounce;26;color;black;;;
water bottle;Live Infinitely Live Infinitely  Bottle;24 ounce;26;color;orange;;;
water bottle;Live Infinitely Live Infinitely  Bottle;24 ounce;26;color;red;;;
water bottle;Live Infinitely Live Infinitely  Bottle;24 ounce;26;color;yellow;;;
water bottle;Live Infinitely Live Infinitely  Bottle;24 ounce;26;color;purple;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;royal blue;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;red;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;purple;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;pink;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;orange;;;
water bottle;Nalgene  Nalgene  Bottle;20 ounce;35;color;black;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;red;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;gray;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;orange;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;yellow;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;royal blue;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;sky blue;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;black;;;
water bottle;Polar Bottle  Polar Bottle ;Insullated;23;color;maroon;;;
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;purple;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;purple;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;purple;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;purple;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;royal blue;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;royal blue;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;royal blue;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;royal blue;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;hunter green;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;hunter green;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;hunter green;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;hunter green;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;gray;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;gray;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;gray;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;gray;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;yellow;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;yellow;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;yellow;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;yellow;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;pink;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;pink;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;pink;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;pink;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;black;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;black;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;black;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;black;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;maroon;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;maroon;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;maroon;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;maroon;;size;x-large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Ax Diagonal Graphic V Neck Short Sleeve Jersey;;39;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;gray;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;gray;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;gray;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;gray;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;pink;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;pink;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;pink;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;pink;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;hunter green;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;hunter green;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;hunter green;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;hunter green;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;maroon;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;maroon;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;maroon;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;maroon;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;yellow;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;yellow;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;yellow;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;yellow;;size;x-large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;red;;size;small
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;red;;size;medium
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;red;;size;large
shirt;A|X Armani Exchange Men's Ax Graphic City Crew Neck Tee;;21;color;red;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;black;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;black;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;black;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;black;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;red;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;red;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;red;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;red;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;maroon;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;maroon;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;maroon;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;maroon;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;gray;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;gray;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;gray;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;gray;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;royal blue;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;royal blue;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;royal blue;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;royal blue;;size;x-large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Ax Logo Print Allover Jersey Tee;;34;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;orange;;size;small
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;orange;;size;medium
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;orange;;size;large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;orange;;size;x-large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;royal blue;;size;small
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;royal blue;;size;medium
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;royal blue;;size;large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;royal blue;;size;x-large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;gray;;size;small
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;gray;;size;medium
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;gray;;size;large
shirt;A|X Armani Exchange Men's Basic Logo V Neck Tee;;8;color;gray;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;sky blue;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;sky blue;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;sky blue;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;sky blue;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;hunter green;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;hunter green;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;hunter green;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;hunter green;;size;x-large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;maroon;;size;small
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;maroon;;size;medium
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;maroon;;size;large
shirt;A|X Armani Exchange Men's Cotton Spandex V Neck Front Chest Logo Side Piping;;9;color;maroon;;size;x-large
